Date,Price,Open,High,Low,Change %
24-Sep-18,"6,592.90","6,691.90","6,706.00","6,547.30",-1.48%
23-Sep-18,"6,691.90","6,702.50","6,749.00","6,616.20",-0.28%
22-Sep-18,"6,710.50","6,687.20","6,788.40","6,604.60",0.35%
21-Sep-18,"6,687.20","6,482.90","6,737.00","6,452.80",3.15%
20-Sep-18,"6,482.90","6,401.30","6,510.00","6,351.60",1.27%
19-Sep-18,"6,401.30","6,301.20","6,503.10","6,143.30",1.59%
18-Sep-18,"6,301.20","6,231.30","6,389.10","6,226.60",1.12%
17-Sep-18,"6,231.30","6,519.00","6,529.80","6,198.70",-4.41%
16-Sep-18,"6,519.00","6,502.70","6,545.30","6,396.70",0.25%
15-Sep-18,"6,502.70","6,465.60","6,600.00","6,447.60",0.57%
14-Sep-18,"6,465.60","6,506.40","6,685.00","6,396.70",-0.63%
13-Sep-18,"6,506.40","6,315.60","6,681.10","6,307.70",3.02%
12-Sep-18,"6,315.60","6,291.70","6,371.10","6,204.80",0.38%
11-Sep-18,"6,291.70","6,333.70","6,384.50","6,101.00",-0.66%
10-Sep-18,"6,333.70","6,296.20","6,377.70","6,159.00",1.15%
09-Sep-18,"6,261.40","6,243.70","6,424.80","6,160.00",0.28%
08-Sep-18,"6,243.70","6,437.90","6,751.60","5,849.60",-2.97%
07-Sep-18,"6,434.70","6,495.40","6,537.40","6,322.50",-0.93%
06-Sep-18,"6,495.40","6,709.00","6,724.00","6,322.10",-3.18%
05-Sep-18,"6,709.00","7,355.50","7,395.90","6,709.00",-8.79%
04-Sep-18,"7,355.50","7,250.00","7,406.90","7,245.00",1.46%
03-Sep-18,"7,250.00","7,254.70","7,310.40","7,197.90",-0.06%
02-Sep-18,"7,254.70","7,197.90","7,336.00","7,122.10",0.79%
01-Sep-18,"7,197.90","7,015.90","7,250.00","6,987.10",2.59%
31-Aug-18,"7,015.90","6,961.40","7,066.10","6,800.00",0.78%
30-Aug-18,"6,961.40","7,029.70","7,065.60","6,653.60",-0.97%
29-Aug-18,"7,029.70","7,066.20","7,138.80","6,600.00",-0.16%
28-Aug-18,"7,040.80","6,873.30","7,129.70","6,816.30",2.44%
27-Aug-18,"6,873.30","6,684.90","6,900.00","6,657.30",2.82%
26-Aug-18,"6,684.90","6,712.70","6,736.20","6,548.00",-0.41%
25-Aug-18,"6,712.70","6,698.40","6,761.30","6,646.80",0.21%
24-Aug-18,"6,698.40","6,525.80","6,711.40","6,478.20",2.65%
23-Aug-18,"6,525.80","6,364.20","6,561.00","6,364.20",2.54%
22-Aug-18,"6,364.20","6,443.00","6,865.90","6,200.00",-1.22%
21-Aug-18,"6,443.00","6,266.20","6,472.00","6,250.00",2.82%
20-Aug-18,"6,266.20","6,492.70","6,516.90","6,235.40",-3.49%
19-Aug-18,"6,492.70","6,409.00","6,515.40","6,329.20",1.31%
18-Aug-18,"6,409.00","6,548.00","6,592.00","6,301.10",-2.12%
17-Aug-18,"6,548.00","6,313.70","6,572.90","6,290.00",3.71%
16-Aug-18,"6,313.70","6,276.60","6,447.40","6,227.90",0.59%
15-Aug-18,"6,276.60","6,177.80","6,599.10","6,163.00",1.60%
14-Aug-18,"6,177.80","6,277.80","6,277.80","5,886.00",-1.59%
13-Aug-18,"6,277.80","6,327.90","6,510.80","6,163.00",-0.93%
12-Aug-18,"6,336.60","6,239.00","6,439.70","6,184.50",1.67%
11-Aug-18,"6,232.70","6,140.70","6,474.00","6,014.10",1.50%
10-Aug-18,"6,140.70","6,536.10","6,788.00","6,035.10",-6.19%
09-Aug-18,"6,545.80","6,275.70","6,622.20","6,206.20",4.25%
08-Aug-18,"6,279.10","6,709.80","6,714.70","6,141.50",-6.42%
07-Aug-18,"6,709.80","6,910.40","7,436.20","6,696.00",-2.90%
06-Aug-18,"6,910.40","7,010.40","7,151.30","6,850.00",-1.43%
05-Aug-18,"7,010.40","6,986.90","7,076.70","6,900.00",0.34%
04-Aug-18,"6,986.90","7,383.60","7,475.00","6,964.60",-5.37%
03-Aug-18,"7,383.60","7,577.60","7,608.50","7,315.50",-2.56%
02-Aug-18,"7,577.60","7,607.30","7,695.70","7,147.80",-0.39%
01-Aug-18,"7,607.30","7,735.90","7,766.30","7,468.70",-1.66%
31-Jul-18,"7,735.90","8,178.10","8,178.10","7,665.00",-5.41%
30-Jul-18,"8,178.10","8,218.10","8,371.70","7,843.10",-0.58%
29-Jul-18,"8,225.60","8,195.20","8,269.40","8,122.00",0.37%
28-Jul-18,"8,195.20","8,168.30","8,252.70","8,065.40",0.33%
27-Jul-18,"8,168.30","7,953.40","8,252.70","7,802.70",2.70%
26-Jul-18,"7,953.40","8,161.30","8,300.00","7,880.30",-2.55%
25-Jul-18,"8,161.30","8,381.40","8,815.00","8,065.40",-2.97%
24-Jul-18,"8,410.80","7,772.90","8,486.60","7,730.00",8.44%
23-Jul-18,"7,756.20","7,413.40","7,788.50","7,401.80",4.62%
22-Jul-18,"7,413.40","7,452.50","7,905.00","7,162.00",-0.52%
21-Jul-18,"7,452.50","7,393.60","7,452.50","7,250.00",1.17%
20-Jul-18,"7,366.10","7,434.20","7,891.00","7,288.20",-0.92%
19-Jul-18,"7,434.20","7,374.10","7,536.10","7,262.50",0.82%
18-Jul-18,"7,374.10","7,329.50","7,588.90","7,245.40",0.61%
17-Jul-18,"7,329.50","6,670.60","7,400.00","6,632.10",9.88%
16-Jul-18,"6,670.60","6,282.80","6,692.00","6,249.70",6.17%
15-Jul-18,"6,282.80","6,235.40","6,372.50","6,206.30",0.76%
14-Jul-18,"6,235.40","6,154.00","6,250.00","5,750.00",1.32%
13-Jul-18,"6,154.00","6,251.90","6,386.00","5,708.30",-1.57%
12-Jul-18,"6,251.90","6,345.20","6,372.50","6,112.10",-1.47%
11-Jul-18,"6,345.20","6,302.90","6,409.20","5,924.40",0.67%
10-Jul-18,"6,302.90","6,664.10","6,678.00","6,297.80",-5.42%
09-Jul-18,"6,664.10","6,686.10","6,899.00","6,639.90",-0.33%
08-Jul-18,"6,686.10","6,740.30","6,770.30","6,262.60",-0.80%
07-Jul-18,"6,740.30","6,576.30","6,770.60","6,509.20",2.49%
06-Jul-18,"6,576.30","6,536.80","6,890.00","6,463.80",0.61%
05-Jul-18,"6,536.80","6,582.10","7,065.20","5,936.90",-0.69%
04-Jul-18,"6,582.10","6,498.30","6,721.10","6,418.80",1.29%
03-Jul-18,"6,498.30","6,599.50","6,660.30","6,450.40",-1.53%
02-Jul-18,"6,599.50","6,351.90","6,649.00","6,285.70",3.90%
